회사명,종목코드,티커,시장구분,업종,주요제품,상장일,결산월,대표자,홈페이지,주소지,alias
엑셈,205100,205100.KQ,KOSDAQ,소프트웨어 개발 및 공급업,"DB, E2E 성능관리 SW",2014-11-07,12월,"조종암, 고평석(각자대표)",http://www.ex-em.com,서울특별시,엑셈
엑스게이트,356680,356680.KQ,KOSDAQ,소프트웨어 개발 및 공급업,통합 네트워크 보안 솔루션,2023-03-16,12월,주갑수,http://www.axgate.com,경기도,엑스게이트
엑스큐어,70300,070300.KQ,KOSDAQ,소프트웨어 개발 및 공급업,"USIM카드, 금융카드",2010-06-09,12월,안은철,http://www.xcure.co.kr,경기도,엑스큐어
엑스페릭스,317770,317770.KQ,KOSDAQ,전자부품 제조업,"지문인식 등록, 인증 기기 및 솔루션",2019-08-01,12월,윤상철,http://www.xperix.com,경기도,엑스페릭스
엑스플러스,373200,373200.KQ,KOSDAQ,그외 기타 제품 제조업,모바일 IT응용제품 외,2021-02-26,12월,윤상철,http://haainc.co.kr,서울특별시,엑스플러스
엑시온그룹,69920,069920.KQ,KOSDAQ,무점포 소매업,"해외, 국내상품 소싱 및 판매대행 서비스",2007-12-05,12월,이승철,http://www.isecommerce.co.kr,서울특별시,엑시온그룹
엑시콘,92870,092870.KQ,KOSDAQ,특수 목적용 기계 제조업,반도체 검사장비,2015-10-22,12월,"최명배, 박영우",http://www.exicon.co.kr,경기도,엑시콘
엑시큐어하이트론,19490,019490.KS,KOSPI,영상 및 음향기기 제조업,"영상음향기기(보안시스템,CCTV용 모니터,CRT,화상회의시스템),정보통신기기 제조",1998-11-04,12월,유앤디,http://www.hitron.co.kr,경기도,엑시큐어하이트론
엔바이오니아,317870,317870.KQ,KOSDAQ,그외 기타 제품 제조업,양전하필터(정수기),2019-10-24,12월,한정철,http://envioneer.com,충청북도,엔바이오니아
엔브이에이치코리아,67570,067570.KQ,KOSDAQ,자동차 신품 부품 제조업,"헤드라이너, NVH부품",2013-12-03,12월,"구자겸, 이규양(각자대표)",http://www.nvhkorea.com,울산광역시,엔브이에이치코리아
엔비티,236810,236810.KQ,KOSDAQ,광고업,모바일 포인트 광고 플랫폼,2021-01-21,12월,박수근,http://nbt.com,서울특별시,엔비티
